product_name,due_date,version_name,step_code,worker_name,work_date,start_time,end_time,units_produced
Tactical Vest,2025-01-10,v1.0 Standard,A1A,Maria Garcia,2025-01-05,07:00,11:00,120
Tactical Vest,2025-01-10,v1.0 Standard,A1A,Maria Garcia,2025-01-05,12:00,16:00,115
Tactical Vest,2025-01-10,v1.0 Standard,A1B,John Smith,2025-01-06,08:00,12:00,100
Tactical Vest,2025-01-10,v1.0 Standard,A1B,John Smith,2025-01-06,13:00,17:00,95
Tactical Vest,2025-01-10,v1.0 Standard,A1C,Maria Garcia,2025-01-07,07:00,12:00,100
Tactical Vest,2025-01-10,v1.0 Standard,A1C,Maria Garcia,2025-01-07,13:00,17:00,100
Tactical Vest,2025-01-10,v1.0 Standard,CUT-01,Carlos Martinez,2025-01-03,07:00,15:00,300
Tactical Vest,2025-01-10,v1.0 Standard,SEW-01,Ana Rodriguez,2025-01-07,07:00,15:00,80
Tactical Vest,2025-01-10,v1.0 Standard,SEW-01,Ana Rodriguez,2025-01-08,07:00,15:00,85
Tactical Vest,2025-01-10,v1.0 Standard,SEW-01,Ana Rodriguez,2025-01-09,07:00,12:00,50
Tactical Vest,2025-01-10,v1.0 Standard,INS-01,John Smith,2025-01-09,08:00,16:00,165
Tactical Vest,2025-01-10,v1.0 Standard,INS-01,John Smith,2025-01-10,08:00,14:00,135
Medical Kit Pouch,2025-02-20,v1.0,M1,Carlos Martinez,2025-02-10,09:00,12:00,50
Medical Kit Pouch,2025-02-20,v1.0,M1,Carlos Martinez,2025-02-10,13:00,16:00,50
